,date,Price,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd,date_y,gdp_growth,interest_rate
0,2009-01-31,6.5947136878967285,290.0,14.0,1480.0,797.0,682.0,2009-03-31,-3.23,0.15
1,2009-04-30,10.609535217285156,305.0,18.0,1468.0,729.0,739.0,2009-06-30,-3.98,0.16
2,2009-07-31,10.74088191986084,316.0,21.0,1557.0,754.0,802.0,2009-09-30,-3.13,0.12
3,2009-10-31,14.064261436462402,331.0,21.0,1643.0,773.0,871.0,2009-12-31,0.11,0.11
4,2010-01-31,15.749493598937988,354.0,20.0,2460.0,1404.0,1057.0,2010-03-31,1.75,0.2
5,2010-04-30,21.214111328125,377.0,18.0,2488.0,1340.0,1148.0,2010-06-30,2.91,0.18
6,2010-07-31,24.52261734008789,394.0,15.0,2698.0,1443.0,1256.0,2010-09-30,3.34,0.19
7,2010-10-31,28.76544189453125,429.0,21.0,2741.0,1528.0,1212.0,2010-12-31,2.78,0.17
8,2011-01-31,32.00456237792969,457.0,11.0,3091.0,1815.0,1276.0,2011-03-31,2.04,0.1
9,2011-04-30,34.3490104675293,504.0,1.0,3128.0,1872.0,1256.0,2011-06-30,1.74,0.07
10,2011-07-31,35.86324691772461,546.0,-4.0,3421.0,2003.0,1418.0,2011-09-30,0.94,0.07
11,2011-10-31,33.00330352783203,584.0,-4.0,3511.0,2013.0,1498.0,2011-12-31,1.54,0.08
12,2012-01-31,28.94635772705078,632.0,-4.0,4164.0,2577.0,1587.0,2012-03-31,2.64,0.14
13,2012-04-30,38.59431457519531,695.0,-19.0,4156.0,2346.0,1810.0,2012-06-30,2.4,0.16
14,2012-07-31,30.81993865966797,732.0,-10.0,4454.0,2561.0,1892.0,2012-09-30,2.57,0.16
15,2012-10-31,36.177982330322266,788.0,-220.0,4642.0,2559.0,2084.0,2012-12-31,1.55,0.14
16,2013-01-31,42.6587028503418,835.0,-21.0,5529.0,3211.0,2318.0,2013-03-31,1.7,0.15
17,2013-04-30,40.752899169921875,893.0,-68.0,6514.0,4051.0,2463.0,2013-06-30,1.52,0.09
18,2013-07-31,43.369972229003906,957.0,77.0,7970.0,5151.0,2819.0,2013-09-30,2.24,0.09
19,2013-10-31,52.89649200439453,1076.0,-124.0,8098.0,5185.0,2912.0,2013-12-31,3.01,0.07
20,2014-01-31,60.004207611083984,1145.0,-117.0,9153.0,6114.0,3039.0,2014-03-31,1.65,0.09
21,2014-04-30,51.20135116577149,1227.0,-97.0,8641.0,5509.0,3132.0,2014-06-30,2.69,0.09
22,2014-07-31,53.77875900268555,1319.0,-61.0,9010.0,5709.0,3301.0,2014-09-30,3.06,0.09
23,2014-10-31,63.43415451049805,1384.0,-39.0,9413.0,5622.0,3791.0,2014-12-31,2.69,0.11
24,2015-01-31,55.95965194702149,1445.0,-66.0,10665.0,6690.0,3975.0,2015-03-31,3.97,0.12
25,2015-04-30,72.18744659423828,1511.0,4.0,10366.0,6130.0,4235.0,2015-06-30,3.28,0.13
26,2015-07-31,72.66328430175781,1635.0,-1.0,10794.0,6258.0,4536.0,2015-09-30,2.45,0.12
27,2015-10-31,77.03498077392578,1712.0,-25.0,10912.0,6162.0,4750.0,2015-12-31,2.12,0.34
28,2016-01-31,67.46879577636719,1809.0,-26.0,12763.0,7760.0,5003.0,2016-03-31,1.8,0.37
29,2016-04-30,75.14157104492188,1917.0,39.0,12817.0,7233.0,5584.0,2016-06-30,1.49,0.39
30,2016-07-31,81.08944702148438,2037.0,230.0,14381.0,8249.0,6133.0,2016-09-30,1.81,0.4
31,2016-10-31,74.50712585449219,2145.0,-37.0,14388.0,7582.0,6806.0,2016-12-31,2.18,0.65
32,2017-01-31,78.41290283203125,2339.0,92.0,17585.0,10085.0,7500.0,2017-03-31,2.09,0.9
33,2017-04-30,85.3719253540039,2397.0,1.0,17059.0,9124.0,7934.0,2017-06-30,2.33,1.15
34,2017-07-31,90.01127624511719,2577.0,46.0,17419.0,8967.0,8451.0,2017-09-30,2.41,1.15
35,2017-10-31,101.4510269165039,2701.0,107.0,17490.0,8661.0,8829.0,2017-12-31,2.99,1.41
36,2018-01-31,112.9205322265625,2865.0,206.0,21984.0,11608.0,10376.0,2018-03-31,3.33,1.69
37,2018-04-30,119.93902587890624,3006.0,344.0,22963.0,11903.0,11060.0,2018-06-30,3.3,1.91
38,2018-07-31,135.95864868164062,3281.0,299.0,25823.0,12295.0,13528.0,2018-09-30,3.13,2.19
39,2018-10-31,136.0478973388672,3392.0,105.0,26588.0,11895.0,14693.0,2018-12-31,2.13,2.4
40,2019-01-31,150.64991760253906,3603.0,362.0,30737.0,15132.0,15605.0,2019-03-31,1.93,2.42
41,2019-04-30,163.91371154785156,3737.0,392.0,33154.0,16708.0,16446.0,2019-06-30,2.24,2.4
42,2019-07-31,153.15794372558594,3997.0,91.0,33336.0,16170.0,17166.0,2019-09-30,2.8,1.83
43,2019-10-31,155.13067626953125,4513.0,-109.0,49942.0,16663.0,33279.0,2019-12-31,3.35,1.55
44,2020-01-31,180.7263641357422,4851.0,-248.0,55126.0,21241.0,33885.0,2020-03-31,1.28,0.05
45,2020-04-30,160.54324340820312,4865.0,99.0,53623.0,19058.0,34565.0,2020-06-30,-7.5,0.09
46,2020-07-31,193.1574554443359,5151.0,2625.0,57780.0,19340.0,38440.0,2020-09-30,-1.41,0.09
47,2020-10-31,230.25241088867188,5419.0,1081.0,59136.0,18826.0,40310.0,2020-12-31,-1.02,0.09
