,date,Price,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd,gdp_growth,interest_rate
0,2009-05-31,11.50312328338623,4713.0,342.0,13250.0,4557.0,8693.0,-3.23,0.15
1,2009-08-31,11.216618537902832,4799.0,513.0,13191.0,4100.0,9091.0,-3.98,0.16
2,2009-11-30,13.202309608459473,4405.0,375.0,13358.0,4134.0,9224.0,-3.13,0.12
3,2010-02-28,13.81073760986328,4733.0,497.0,13576.0,4147.0,9429.0,0.11,0.11
4,2010-05-31,14.846562385559082,5077.0,522.0,14419.0,4665.0,9754.0,1.75,0.2
5,2010-08-31,14.411684036254885,5175.0,559.0,14051.0,4391.0,9660.0,2.91,0.18
6,2010-11-30,17.799169540405273,4842.0,457.0,14464.0,4515.0,9949.0,3.34,0.19
7,2011-02-28,18.46377182006836,5079.0,523.0,14478.0,4576.0,9902.0,2.78,0.17
8,2011-05-31,17.575620651245117,5021.0,594.0,14998.0,5155.0,9843.0,2.04,0.1
9,2011-08-31,18.101791381835938,6081.0,645.0,14803.0,4904.0,9899.0,1.74,0.07
10,2011-11-30,20.164812088012695,5546.0,469.0,14565.0,4722.0,9843.0,0.94,0.07
11,2012-02-29,22.711196899414062,5656.0,560.0,14794.0,4618.0,10176.0,1.54,0.08
12,2012-05-31,22.91807556152344,6048.0,537.0,15465.0,5084.0,10381.0,2.64,0.14
13,2012-08-31,20.701358795166016,6474.0,567.0,15114.0,5067.0,10047.0,2.4,0.16
14,2012-11-30,20.72687339782715,5955.0,384.0,15171.0,5157.0,10014.0,2.57,0.16
15,2013-02-28,23.349571228027344,6187.0,866.0,15615.0,4948.0,10667.0,1.55,0.14
16,2013-05-31,26.52505874633789,6697.0,655.0,17545.0,6464.0,11081.0,1.7,0.15
17,2013-08-31,27.113922119140625,6971.0,779.0,17674.0,6392.0,11282.0,1.52,0.09
18,2013-11-30,34.15784454345703,6431.0,534.0,17820.0,6476.0,11344.0,2.24,0.09
19,2014-02-28,34.005252838134766,6972.0,682.0,17803.0,6670.0,11133.0,3.01,0.07
20,2014-05-31,33.50703048706055,7425.0,698.0,18594.0,7770.0,10824.0,1.65,0.09
21,2014-08-31,34.32484436035156,7982.0,962.0,18521.0,7416.0,11105.0,2.69,0.09
22,2014-11-30,43.387821197509766,7380.0,655.0,19167.0,7467.0,11700.0,3.06,0.09
23,2015-02-28,42.68505096435547,7460.0,791.0,20541.0,8173.0,12368.0,2.69,0.11
24,2015-05-31,44.80681610107422,7779.0,865.0,21597.0,8890.0,12707.0,3.97,0.12
25,2015-08-31,49.249149322509766,8414.0,1179.0,20766.0,7872.0,12894.0,3.28,0.13
26,2015-11-30,58.444725036621094,7686.0,785.0,22583.0,9178.0,13405.0,2.45,0.12
27,2016-02-29,54.556034088134766,8032.0,950.0,20987.0,8687.0,12300.0,2.12,0.34
28,2016-05-31,49.039642333984375,8244.0,846.0,21379.0,9121.0,12258.0,1.8,0.37
29,2016-08-31,51.33832550048828,9061.0,1249.0,21156.0,8991.0,12165.0,1.49,0.39
30,2016-11-30,44.72007751464844,8180.0,842.0,22652.0,10329.0,12323.0,1.81,0.4
31,2017-02-28,51.23670196533203,8432.0,1141.0,23152.0,10430.0,12722.0,2.18,0.65
32,2017-05-31,47.64683532714844,8677.0,1008.0,23259.0,10852.0,12407.0,2.09,0.9
33,2017-08-31,47.810569763183594,9070.0,950.0,23647.0,11654.0,11993.0,2.33,1.15
34,2017-11-30,54.70014190673828,8554.0,767.0,24055.0,12297.0,11758.0,2.41,1.15
35,2018-02-28,60.88592529296875,8984.0,-921.0,22552.0,12770.0,9782.0,2.99,1.41
36,2018-05-31,65.41598510742188,9789.0,1137.0,22536.0,12724.0,9812.0,3.33,1.69
37,2018-08-31,75.28544616699219,9948.0,1092.0,22483.0,13491.0,8992.0,3.3,1.91
38,2018-11-30,69.00521850585938,9374.0,847.0,22677.0,13948.0,8729.0,3.13,2.19
39,2019-02-28,78.75154113769531,9611.0,1101.0,22921.0,13960.0,8961.0,2.13,2.4
40,2019-05-31,71.24082946777344,10184.0,989.0,23717.0,14677.0,9040.0,1.93,2.42
41,2019-08-31,78.23957061767578,10660.0,1367.0,26249.0,17049.0,9200.0,2.24,2.4
42,2019-11-30,86.7894287109375,10326.0,1115.0,26602.0,17251.0,9351.0,2.8,1.83
43,2020-02-29,83.20417785644531,10104.0,847.0,26220.0,17175.0,9045.0,3.35,1.55
44,2020-05-31,91.99742889404295,6313.0,-790.0,31342.0,23287.0,8055.0,1.28,0.05
45,2020-08-31,104.64999389648438,10594.0,1518.0,33258.0,24034.0,9224.0,-7.5,0.09
46,2020-11-30,125.98402404785156,11243.0,1251.0,34836.0,24196.0,10640.0,-1.41,0.09
47,2021-02-28,126.56928253173828,10357.0,1449.0,36185.0,24254.0,11931.0,-1.02,0.09
48,2021-05-31,128.405517578125,12344.0,1509.0,37740.0,24973.0,12767.0,1.76,0.07
49,2021-08-31,155.27207946777344,12248.0,1874.0,37917.0,23574.0,14343.0,12.24,0.1
50,2021-11-30,159.5134735107422,11357.0,1337.0,38917.0,23993.0,14924.0,4.98,0.08
51,2022-02-28,128.9335479736328,10871.0,1396.0,38577.0,23768.0,14809.0,5.72,0.08
52,2022-05-31,112.47687530517578,12234.0,1439.0,40321.0,25040.0,15281.0,4.01,0.33
53,2022-08-31,100.99138641357422,12687.0,1468.0,41088.0,25266.0,15822.0,2.48,1.68
54,2022-11-30,104.36417388916016,13315.0,1331.0,39647.0,24375.0,15272.0,2.3,3.08
55,2023-02-28,113.36924743652344,12390.0,1240.0,38294.0,23763.0,14531.0,1.32,4.33
56,2023-05-31,100.7431182861328,12825.0,1031.0,37531.0,23527.0,14004.0,2.28,4.83
57,2023-08-31,97.6658706665039,12939.0,1450.0,36786.0,22815.0,13971.0,2.83,5.12
58,2023-11-30,106.24066925048828,13388.0,1578.0,37203.0,23057.0,14146.0,3.24,5.33
59,2024-02-29,100.46945190429688,12429.0,1172.0,37356.0,23130.0,14226.0,3.2,5.33
60,2024-05-31,92.21340942382812,12606.0,1500.0,38110.0,23680.0,14430.0,2.9,5.33
61,2024-08-31,81.14936065673828,11589.0,1051.0,37867.0,23923.0,13944.0,3.04,5.33
62,2024-11-30,77.06009674072266,12354.0,1163.0,37959.0,23922.0,14037.0,2.72,4.83
63,2025-02-28,78.10237884521484,11269.0,794.0,37793.0,23786.0,14007.0,2.53,4.33
64,2025-05-31,59.87881851196289,11097.0,211.0,36579.0,23366.0,13213.0,1.99,4.33
