,date,Price,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd,gdp_growth,interest_rate
0,2009-03-31,3.155714750289917,9084.0,1620.0,43237.0,18926.0,24311.0,-3.23,0.15
1,2009-06-30,4.275763988494873,9734.0,1828.0,48140.0,22252.0,25888.0,-3.98,0.16
2,2009-09-30,5.5642290115356445,12207.0,2532.0,47501.0,15861.0,31640.0,-3.13,0.12
3,2009-12-31,6.326139450073242,15683.0,3378.0,53926.0,18158.0,35768.0,0.11,0.11
4,2010-03-31,7.054725170135498,13499.0,3074.0,57057.0,17709.0,39348.0,1.75,0.2
5,2010-06-30,7.550960540771484,15700.0,3253.0,64725.0,21614.0,43111.0,2.91,0.18
6,2010-09-30,8.518208503723145,20343.0,4308.0,75183.0,27392.0,47791.0,3.34,0.19
7,2010-12-31,9.683290481567385,26741.0,6004.0,86742.0,32076.0,54666.0,2.78,0.17
8,2011-03-31,10.462308883666992,24667.0,5987.0,94904.0,33427.0,61477.0,2.04,0.1
9,2011-06-30,10.07685375213623,28571.0,7308.0,106758.0,37415.0,69343.0,1.74,0.07
10,2011-09-30,11.447272300720217,28270.0,6623.0,116371.0,39756.0,76615.0,0.94,0.07
11,2011-12-31,12.1581449508667,46333.0,13064.0,138681.0,48627.0,90054.0,1.54,0.08
12,2012-03-31,17.99856185913086,39186.0,11622.0,150934.0,48436.0,102498.0,2.64,0.14
13,2012-06-30,17.531747817993164,35023.0,8824.0,162896.0,51150.0,111746.0,2.4,0.16
14,2012-09-30,20.112403869628903,35966.0,8223.0,176064.0,57854.0,118210.0,2.57,0.16
15,2012-12-31,16.1176700592041,54512.0,13078.0,196088.0,68742.0,127346.0,1.55,0.14
16,2013-03-31,13.484850883483888,43603.0,9547.0,194743.0,59253.0,135490.0,1.7,0.15
17,2013-06-30,12.159537315368652,35323.0,6900.0,199856.0,76502.0,123354.0,1.52,0.09
18,2013-09-30,14.716002464294434,37472.0,7512.0,207000.0,83451.0,123549.0,2.24,0.09
19,2013-12-31,17.418302536010742,57594.0,13072.0,225184.0,95500.0,129684.0,3.01,0.07
20,2014-03-31,16.76421356201172,45646.0,10223.0,205989.0,85810.0,120179.0,1.65,0.09
21,2014-06-30,20.431116104125977,37432.0,7748.0,222520.0,101580.0,120940.0,2.69,0.09
22,2014-09-30,22.26055908203125,42123.0,8467.0,231839.0,120292.0,111547.0,3.06,0.09
23,2014-12-31,24.494049072265625,74599.0,18024.0,261894.0,138566.0,123328.0,2.69,0.11
24,2015-03-31,27.72080993652344,58010.0,13569.0,261194.0,132188.0,129006.0,3.97,0.12
25,2015-06-30,28.06031608581543,49605.0,10677.0,273151.0,147474.0,125677.0,3.28,0.13
26,2015-09-30,24.7872314453125,51501.0,11124.0,290345.0,170990.0,119355.0,2.45,0.12
27,2015-12-31,23.7558650970459,75872.0,18361.0,293284.0,165017.0,128267.0,2.12,0.34
28,2016-03-31,24.73115921020508,50557.0,10516.0,305277.0,174820.0,130457.0,1.8,0.37
29,2016-06-30,21.824880599975582,42358.0,7796.0,305602.0,179061.0,126541.0,1.49,0.39
30,2016-09-30,25.948410034179688,46852.0,9014.0,321686.0,193437.0,128249.0,1.81,0.4
31,2016-12-31,26.7206974029541,78351.0,17891.0,331141.0,198751.0,132390.0,2.18,0.65
32,2017-03-31,33.287330627441406,52896.0,11029.0,334532.0,200450.0,134082.0,2.09,0.9
33,2017-06-30,33.508480072021484,45408.0,8717.0,345173.0,212748.0,132425.0,2.33,1.15
34,2017-09-30,35.99921417236328,52579.0,10714.0,375319.0,241272.0,134047.0,2.41,1.15
35,2017-12-31,39.67070770263672,88293.0,20065.0,406794.0,266595.0,140199.0,2.99,1.41
36,2018-03-31,39.49116134643555,61137.0,13822.0,367502.0,240624.0,126878.0,3.33,1.69
37,2018-06-30,43.73821640014648,53265.0,11519.0,349197.0,234248.0,114949.0,3.3,1.91
38,2018-09-30,53.52542495727539,62900.0,14125.0,365725.0,258578.0,107147.0,3.13,2.19
39,2018-12-31,37.532379150390625,84310.0,19965.0,373719.0,255827.0,117892.0,2.13,2.4
40,2019-03-31,45.390228271484375,58015.0,11561.0,341998.0,236138.0,105860.0,1.93,2.42
41,2019-06-30,47.476837158203125,53809.0,10044.0,322239.0,225783.0,96456.0,2.24,2.4
42,2019-09-30,53.92981719970703,64040.0,13686.0,338516.0,248028.0,90488.0,2.8,1.83
43,2019-12-31,70.92034912109375,91819.0,22236.0,340618.0,251087.0,89531.0,3.35,1.55
44,2020-03-31,61.5601692199707,58313.0,11249.0,320400.0,241975.0,78425.0,1.28,0.05
45,2020-06-30,88.55218505859375,59685.0,11253.0,317344.0,245062.0,72282.0,-7.5,0.09
46,2020-09-30,112.6504364013672,64698.0,12673.0,323888.0,258549.0,65339.0,-1.41,0.09
47,2020-12-31,129.2925567626953,111439.0,28755.0,354054.0,287830.0,66224.0,-1.02,0.09
48,2021-03-31,119.20032501220705,89584.0,23630.0,337158.0,267980.0,69178.0,1.76,0.07
49,2021-06-30,133.87969970703125,81434.0,21744.0,329840.0,265560.0,64280.0,12.24,0.1
50,2021-09-30,138.5248565673828,83360.0,20551.0,351002.0,287912.0,63090.0,4.98,0.08
51,2021-12-31,174.09014892578125,123945.0,34630.0,381191.0,309259.0,71932.0,5.72,0.08
52,2022-03-31,171.40625,97278.0,25010.0,350662.0,283263.0,67399.0,4.01,0.33
53,2022-06-30,134.40867614746094,82959.0,19442.0,336309.0,278202.0,58107.0,2.48,1.68
54,2022-09-30,136.05230712890625,90146.0,20721.0,352755.0,302083.0,50672.0,2.3,3.08
55,2022-12-31,128.12306213378906,117154.0,29998.0,346747.0,290020.0,56727.0,1.32,4.33
56,2023-03-31,162.85499572753906,94836.0,24160.0,332160.0,270002.0,62158.0,2.28,4.83
57,2023-06-30,191.82945251464844,81797.0,19881.0,335038.0,274764.0,60274.0,2.83,5.12
58,2023-09-30,169.54928588867188,89498.0,22956.0,352583.0,290437.0,62146.0,3.24,5.33
59,2023-12-31,190.9136505126953,119575.0,33916.0,353514.0,279414.0,74100.0,3.2,5.33
60,2024-03-31,170.25733947753906,90753.0,23636.0,337411.0,263217.0,74194.0,2.9,5.33
61,2024-06-30,209.4019317626953,85777.0,21448.0,331612.0,264904.0,66708.0,3.04,5.33
62,2024-09-30,231.9206390380859,94930.0,14736.0,364980.0,308030.0,56950.0,2.72,4.83
63,2024-12-31,249.5341796875,124300.0,36330.0,344085.0,277327.0,66758.0,2.53,4.33
64,2025-03-31,221.58761596679688,95359.0,24780.0,331233.0,264437.0,66796.0,1.99,4.33
65,2025-06-30,204.9374084472656,94036.0,23434.0,331495.0,265665.0,65830.0,1.99,4.33
