date,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd
2009-01-31,290.0,14.0,1480.0,797.0,682.0
2009-04-30,305.0,18.0,1468.0,729.0,739.0
2009-07-31,316.0,21.0,1557.0,754.0,802.0
2009-10-31,331.0,21.0,1643.0,773.0,871.0
2010-01-31,354.0,20.0,2460.0,1404.0,1057.0
2010-04-30,377.0,18.0,2488.0,1340.0,1148.0
2010-07-31,394.0,15.0,2698.0,1443.0,1256.0
2010-10-31,429.0,21.0,2741.0,1528.0,1212.0
2011-01-31,457.0,11.0,3091.0,1815.0,1276.0
2011-04-30,504.0,1.0,3128.0,1872.0,1256.0
2011-07-31,546.0,-4.0,3421.0,2003.0,1418.0
2011-10-31,584.0,-4.0,3511.0,2013.0,1498.0
2012-01-31,632.0,-4.0,4164.0,2577.0,1587.0
2012-04-30,695.0,-19.0,4156.0,2346.0,1810.0
2012-07-31,732.0,-10.0,4454.0,2561.0,1892.0
2012-10-31,788.0,-220.0,4642.0,2559.0,2084.0
2013-01-31,835.0,-21.0,5529.0,3211.0,2318.0
2013-04-30,893.0,-68.0,6514.0,4051.0,2463.0
2013-07-31,957.0,77.0,7970.0,5151.0,2819.0
2013-10-31,1076.0,-124.0,8098.0,5185.0,2912.0
2014-01-31,1145.0,-117.0,9153.0,6114.0,3039.0
2014-04-30,1227.0,-97.0,8641.0,5509.0,3132.0
2014-07-31,1319.0,-61.0,9010.0,5709.0,3301.0
2014-10-31,1384.0,-39.0,9413.0,5622.0,3791.0
2015-01-31,1445.0,-66.0,10665.0,6690.0,3975.0
2015-04-30,1511.0,4.0,10366.0,6130.0,4235.0
2015-07-31,1635.0,-1.0,10794.0,6258.0,4536.0
2015-10-31,1712.0,-25.0,10912.0,6162.0,4750.0
2016-01-31,1809.0,-26.0,12763.0,7760.0,5003.0
2016-04-30,1917.0,39.0,12817.0,7233.0,5584.0
2016-07-31,2037.0,230.0,14381.0,8249.0,6133.0
2016-10-31,2145.0,-37.0,14388.0,7582.0,6806.0
2017-01-31,2339.0,92.0,17585.0,10085.0,7500.0
2017-04-30,2397.0,1.0,17059.0,9124.0,7934.0
2017-07-31,2577.0,46.0,17419.0,8967.0,8451.0
2017-10-31,2701.0,107.0,17490.0,8661.0,8829.0
2018-01-31,2865.0,206.0,21984.0,11608.0,10376.0
2018-04-30,3006.0,344.0,22963.0,11903.0,11060.0
2018-07-31,3281.0,299.0,25823.0,12295.0,13528.0
2018-10-31,3392.0,105.0,26588.0,11895.0,14693.0
2019-01-31,3603.0,362.0,30737.0,15132.0,15605.0
2019-04-30,3737.0,392.0,33154.0,16708.0,16446.0
2019-07-31,3997.0,91.0,33336.0,16170.0,17166.0
2019-10-31,4513.0,-109.0,49942.0,16663.0,33279.0
2020-01-31,4851.0,-248.0,55126.0,21241.0,33885.0
2020-04-30,4865.0,99.0,53623.0,19058.0,34565.0
2020-07-31,5151.0,2625.0,57780.0,19340.0,38440.0
2020-10-31,5419.0,1081.0,59136.0,18826.0,40310.0
2021-01-31,5817.0,267.0,66301.0,24808.0,41493.0
2021-04-30,5963.0,469.0,64885.0,22318.0,42567.0
2021-07-31,6340.0,535.0,88658.0,33138.0,55520.0
2021-10-31,6863.0,468.0,87436.0,30382.0,57054.0
2022-01-31,7326.0,-28.0,95209.0,37078.0,58131.0
2022-04-30,7411.0,28.0,93022.0,34146.0,58876.0
2022-07-31,7720.0,68.0,94148.0,34050.0,60098.0
2022-10-31,7837.0,210.0,91884.0,32533.0,59351.0
2023-01-31,8384.0,-98.0,98849.0,40490.0,58359.0
2023-04-30,8247.0,199.0,93541.0,36129.0,57412.0
2023-07-31,8603.0,1267.0,92447.0,34365.0,58082.0
2023-10-31,8720.0,1224.0,91022.0,32932.0,58090.0
2024-01-31,9287.0,1446.0,99823.0,40177.0,59646.0
2024-04-30,9133.0,1533.0,96180.0,36497.0,59683.0
2024-07-31,9325.0,1429.0,92180.0,34547.0,57633.0
2024-10-31,9444.0,1527.0,91395.0,32870.0,58525.0
2025-01-31,9993.0,1708.0,102928.0,41755.0,61173.0
2025-04-30,9829.0,1541.0,98610.0,37944.0,60666.0
