date,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd
2011-06-30,17367.0,5874.0,108704.0,51621.0,57083.0
2011-09-30,17372.0,5738.0,107415.0,48024.0,59391.0
2011-12-31,20885.0,6624.0,112243.0,48122.0,64121.0
2012-03-31,17407.0,5108.0,118010.0,49351.0,68659.0
2012-06-30,18059.0,-492.0,121271.0,54908.0,66363.0
2012-09-30,16008.0,4466.0,121876.0,53040.0,68836.0
2012-12-31,21456.0,6377.0,128683.0,56107.0,72576.0
2013-03-31,20489.0,6055.0,134105.0,57417.0,76688.0
2013-06-30,19896.0,4965.0,142431.0,63487.0,78944.0
2013-09-30,18529.0,5244.0,142348.0,60707.0,81641.0
2013-12-31,24519.0,6558.0,153543.0,68443.0,85100.0
2014-03-31,20403.0,5660.0,156119.0,68695.0,87424.0
2014-06-30,23382.0,4612.0,172384.0,82600.0,89784.0
2014-09-30,23201.0,4540.0,169656.0,79486.0,90170.0
2014-12-31,26470.0,5863.0,174848.0,82969.0,91879.0
2015-03-31,21729.0,4985.0,176683.0,86551.0,90132.0
2015-06-30,22180.0,-3195.0,174472.0,94389.0,80083.0
2015-09-30,20379.0,4902.0,172896.0,95451.0,77445.0
2015-12-31,23796.0,5018.0,180098.0,103318.0,76780.0
2016-03-31,20531.0,3756.0,181869.0,107063.0,74806.0
2016-06-30,26448.0,6863.0,193468.0,121471.0,71997.0
2016-09-30,21928.0,5667.0,212524.0,142152.0,70372.0
2016-12-31,25826.0,6267.0,224610.0,155801.0,68809.0
2017-03-31,23212.0,5486.0,225017.0,155288.0,69729.0
2017-06-30,25605.0,8069.0,250312.0,162601.0,87711.0
2017-09-30,24538.0,6576.0,249097.0,159450.0,89647.0
2017-12-31,28918.0,-6302.0,256003.0,177643.0,78360.0
2018-03-31,26819.0,7424.0,245497.0,166258.0,79239.0
2018-06-30,30085.0,8873.0,258848.0,176130.0,82718.0
2018-09-30,29084.0,8824.0,257619.0,171652.0,85967.0
2018-12-31,32471.0,8420.0,258859.0,166731.0,92128.0
2019-03-31,30571.0,8809.0,263281.0,168417.0,94864.0
2019-06-30,33717.0,13187.0,286556.0,184226.0,102330.0
2019-09-30,33055.0,10678.0,278955.0,172894.0,106061.0
2019-12-31,36906.0,11649.0,282794.0,172685.0,110109.0
2020-03-31,35021.0,10752.0,285449.0,170948.0,114501.0
2020-06-30,38033.0,11202.0,301311.0,183007.0,118304.0
2020-09-30,37154.0,13893.0,301001.0,177609.0,123392.0
2020-12-31,43076.0,15463.0,304137.0,173901.0,130236.0
2021-03-31,41706.0,15457.0,308879.0,174374.0,134505.0
2021-06-30,46152.0,16458.0,333779.0,191791.0,141988.0
2021-09-30,45317.0,20505.0,335418.0,183440.0,151978.0
2021-12-31,51728.0,18765.0,340389.0,180379.0,160010.0
2022-03-31,49360.0,16728.0,344607.0,181683.0,162924.0
2022-06-30,51865.0,16740.0,364840.0,198298.0,166542.0
2022-09-30,50122.0,17556.0,359784.0,186218.0,173566.0
2022-12-31,52747.0,16425.0,364552.0,181416.0,183136.0
2023-03-31,52857.0,18299.0,380088.0,185405.0,194683.0
2023-06-30,56189.0,20081.0,411976.0,205753.0,206223.0
2023-09-30,56517.0,22291.0,445785.0,225071.0,220714.0
2023-12-31,62020.0,21870.0,470558.0,232290.0,238268.0
2024-03-31,61858.0,21939.0,484275.0,231123.0,253152.0
2024-06-30,64727.0,22036.0,512163.0,243686.0,268477.0
2024-09-30,65585.0,24667.0,523013.0,235290.0,287723.0
2024-12-31,69632.0,24108.0,533898.0,231203.0,302695.0
2025-03-31,70066.0,25824.0,562624.0,240733.0,321891.0
2025-06-30,76441.0,27233.0,619003.0,275524.0,343479.0
2025-09-30,77673.0,27747.0,636351.0,273275.0,363076.0
2025-12-31,81273.0,38458.0,665302.0,274427.0,390875.0
2026-03-31,82886.0,31778.0,694228.0,279861.0,414367.0
